	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU6741	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	
OTU6742	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6743	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6744	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Fenollaria	
OTU6745	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU6746	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
OTU6747	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
OTU6748	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
OTU6749	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU6750	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
OTU6751	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	
OTU6752	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
OTU6753	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
OTU6754	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
OTU6755	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag_111	
OTU6756	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	
OTU6757	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	
OTU6758	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Finegoldia	
OTU6759	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	
OTU6760	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes
OTU6761	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	
OTU6762	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	
OTU6763	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
OTU6764	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
OTU6765	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	
OTU6766	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	
OTU6767	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae		
OTU6768	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae		
OTU6769	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
OTU6770	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
OTU6771	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Negativicoccus	
OTU6772	Eukaryota						
OTU6773	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	
OTU6774	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] gnavus group	
OTU6775	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	
OTU6776	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6777	Bacteria						
OTU6778	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Acutalibacter	
OTU6779	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6780	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
OTU6781	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		
OTU6782	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria		
OTU6783	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Chryseotalea	
OTU6784	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast			
OTU6785	Eukaryota						
OTU6786	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	
OTU6787	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Pseudaeromonas	
OTU6788	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Diplosphaera	
OTU6789	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		
