OTU116	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__expansum
OTU117	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__cinerea
OTU118	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__
OTU119	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon;s__raduloides
OTU120	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Sistotrema;s__porulosum
OTU121	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__restricta
OTU122	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__atroviride
OTU123	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__;f__;g__;s__
OTU124	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__
OTU125	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__globosa
OTU126	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__siamense
OTU127	k__Fungi;p__;c__;o__;f__;g__;s__
OTU128	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__;s__
OTU129	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__sydowii
OTU130	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__subefibulata
OTU131	k__Fungi;p__;c__;o__;f__;g__;s__
OTU132	k__Fungi;p__;c__;o__;f__;g__;s__
OTU133	k__Fungi;p__;c__;o__;f__;g__;s__
OTU134	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__;f__;g__;s__
OTU135	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__
OTU136	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__orthopsilosis
OTU137	k__Fungi;p__;c__;o__;f__;g__;s__
OTU138	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__coffeae
OTU139	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Bjerkandera;s__adusta
OTU140	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Cercospora;s__jatrophiphila
OTU141	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__globosa
OTU142	k__Fungi;p__;c__;o__;f__;g__;s__
OTU143	k__Fungi;p__;c__;o__;f__;g__;s__
OTU144	k__Fungi;p__;c__;o__;f__;g__;s__
OTU145	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__cladosporioides
OTU146	k__Fungi;p__Chytridiomycota;c__;o__;f__;g__;s__
OTU147	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__
OTU148	k__Fungi;p__;c__;o__;f__;g__;s__
OTU149	k__Fungi;p__;c__;o__;f__;g__;s__
OTU150	k__Fungi;p__;c__;o__;f__;g__;s__
OTU151	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces;s__marxianus
OTU152	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__
OTU153	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__
OTU154	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cyphellaceae;g__;s__
OTU155	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__
OTU156	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Thermoascaceae;g__Paecilomyces;s__dactylethromorphus
OTU157	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces;s__rugulosus
OTU158	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__incarnatum
OTU159	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__
OTU160	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__mangiferae
OTU161	k__Fungi;p__Ascomycota;c__;o__;f__;g__;s__
OTU162	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__unguis
OTU163	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__flavus
OTU164	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__piperis
